"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"109","acta dermato-venereologica","102","0001-5555","4.244","3.487","3.176","2.78","3.007","2.456","acta derm-venereol"
"110","acta dermatovenerologica croatica","103","1330-027X","0.581","0.481","0.36","0.272","0.461","-","acta dermatovener cr"
"111","acta diabetologica","104","0940-5429","3.679","4.631","2.784","3.175","1.549","0.926","acta diabetol"
"112","acta endocrinologica-bucharest","105","1841-0987","0.21","0.45","0.183","0.052","0.011","-","acta endocrinol-buch"
"113","acta endocrinologica-bucharest","105","1841-0987","0.21","0.45","0.183","0.052","0.011","-","acta endocrinol"
"114","acta endoscopica","106","0240-642X","-","0.161","0.088","0.053","0.123","0.074","acta endosc"
"115","acta entomologica musei nationalis pragae","107","0374-1036","0.574","0.963","0.721","-","-","-","acta ent mus nat pra"
"116","acta ethologica","108","0873-9749","0.804","1.147","1.353","0.871","1","0.667","acta etholog"
"117","acta ethologica","108","0873-9749","0.804","1.147","1.353","0.871","1","0.667","acta ethol"
"118","acta gastro-enterologica belgica","109","0001-5644","-","0.581","0.638","0.648","1.01","0.832","acta gastro-ent belg"
"119","acta geodaetica et geophysica","111","2213-5812","0.394","-","-","-","-","-","acta geod geophys"
"120","acta geodaetica et geophysica hungarica","110","1217-8977","-","0.347","0.346","0.892","0.288","-","acta geod geophys hu"
"121","acta geodynamica et geomaterialia","112","1214-9705","0.667","-","0.53","0.452","0.275","-","acta geodyn geomater"
"122","acta geographica slovenica-geografski zbornik","113","1581-6613","0.75","0.484","1.333","0.346","0.714","-","acta geogr slov"
"123","acta geologica polonica","114","0001-5709","0.804","1.133","0.565","0.779","0.54","0.581","acta geol pol"
"124","acta geologica sinica-english edition","115","1000-9515","1.406","1.568","1.25","1.408","1.172","1.431","acta geol sin-engl"
"125","acta geophysica","116","1895-6572","1.365","0.91","0.617","1","0.882","0.308","acta geophys"
"126","acta geotechnica","118","1861-1125","1.86","0.905","0.811","1.66","-","-","acta geotech"
"127","acta geotechnica slovenica","117","1854-0171","0.455","0.2","0.1","0.05","0.235","-","acta geotech slov"
"128","acta haematologica","119","0001-5792","0.994","0.894","1.354","1.316","1.069","1.191","acta haematol-basel"
"129","acta herpetologica","120","1827-9635","0.812","0.621","0.56","0.488","-","-","acta herpetol"
"130","acta histochemica","122","0065-1281","1.76","1.608","1.829","1.735","1.234","1.101","acta histochem"
"131","acta histochemica et cytochemica","121","0044-5991","1.224","1.48","1.106","1","1.675","0.857","acta histochem cytoc"
"132","acta hydrochimica et hydrobiologica","123","0323-4320","-","-","-","-","-","0.907","acta hydroch hydrob"
"133","acta ichthyologica et piscatoria","124","0137-1592","0.691","0.606","0.547","0.49","-","-","acta ichthyol piscat"
"134","acta informatica","125","0001-5903","0.405","0.474","0.444","0.809","0.923","0.789","acta inform"
"135","acta materialia","126","1359-6454","3.94","3.941","3.755","3.781","3.76","3.729","acta mater"
"136","acta mathematica","128","0001-5962","3.033","2.714","3.333","4.864","2.619","2.143","acta math-djursholm"
"137","acta mathematica hungarica","129","0236-5294","0.401","0.348","0.456","0.521","0.522","0.317","acta math hung"
"138","acta mathematica scientia","130","0252-9602","0.62","0.487","0.357","0.213","0.328","0.222","acta math sci"
